r,Si-Si,Total,Si-Si_smoothed,Total_smoothed
Å,Å⁻¹,Å⁻¹,Å⁻¹,Å⁻¹
Reduced Pair Distribution Function,Si-Si,Total,Si-Si_smoothed,Total_smoothed
0.01000,0.00000,-0.00628,-0.02784,-0.03123
0.03000,-0.01883,-0.01883,-0.03512,-0.03801
0.05000,-0.03138,-0.03138,-0.04337,-0.04577
0.07000,-0.04394,-0.04394,-0.05252,-0.05445
0.09000,-0.05649,-0.05649,-0.06245,-0.06397
0.11000,-0.06904,-0.06904,-0.07307,-0.07422
0.13000,-0.08160,-0.08160,-0.08423,-0.08507
0.15000,-0.09415,-0.09415,-0.09581,-0.09642
0.17000,-0.10670,-0.10670,-0.10772,-0.10814
0.19000,-0.11926,-0.11926,-0.11986,-0.12013
0.21000,-0.13181,-0.13181,-0.13215,-0.13233
0.23000,-0.14436,-0.14436,-0.14455,-0.14466
0.25000,-0.15692,-0.15692,-0.15702,-0.15708
0.27000,-0.16947,-0.16947,-0.16952,-0.16956
0.29000,-0.18202,-0.18202,-0.18205,-0.18207
0.31000,-0.19458,-0.19458,-0.19459,-0.19460
0.33000,-0.20713,-0.20713,-0.20714,-0.20714
0.35000,-0.21969,-0.21969,-0.21969,-0.21969
0.37000,-0.23224,-0.23224,-0.23224,-0.23224
0.39000,-0.24479,-0.24479,-0.24479,-0.24479
0.41000,-0.25735,-0.25735,-0.25735,-0.25735
0.43000,-0.26990,-0.26990,-0.26990,-0.26990
0.45000,-0.28245,-0.28245,-0.28245,-0.28245
0.47000,-0.29501,-0.29501,-0.29501,-0.29501
0.49000,-0.30756,-0.30756,-0.30756,-0.30756
0.51000,-0.32011,-0.32011,-0.32011,-0.32011
0.53000,-0.33267,-0.33267,-0.33267,-0.33267
0.55000,-0.34522,-0.34522,-0.34522,-0.34522
0.57000,-0.35777,-0.35777,-0.35777,-0.35777
0.59000,-0.37033,-0.37033,-0.37033,-0.37033
0.61000,-0.38288,-0.38288,-0.38288,-0.38288
0.63000,-0.39543,-0.39543,-0.39543,-0.39543
0.65000,-0.40799,-0.40799,-0.40799,-0.40799
0.67000,-0.42054,-0.42054,-0.42054,-0.42054
0.69000,-0.43309,-0.43309,-0.43309,-0.43309
0.71000,-0.44565,-0.44565,-0.44565,-0.44565
0.73000,-0.45820,-0.45820,-0.45820,-0.45820
0.75000,-0.47075,-0.47075,-0.47075,-0.47075
0.77000,-0.48331,-0.48331,-0.48331,-0.48331
0.79000,-0.49586,-0.49586,-0.49586,-0.49586
0.81000,-0.50841,-0.50841,-0.50841,-0.50841
0.83000,-0.52097,-0.52097,-0.52097,-0.52097
0.85000,-0.53352,-0.53352,-0.53352,-0.53352
0.87000,-0.54607,-0.54607,-0.54607,-0.54607
0.89000,-0.55863,-0.55863,-0.55863,-0.55863
0.91000,-0.57118,-0.57118,-0.57118,-0.57118
0.93000,-0.58373,-0.58373,-0.58373,-0.58373
0.95000,-0.59629,-0.59629,-0.59629,-0.59629
0.97000,-0.60884,-0.60884,-0.60884,-0.60884
0.99000,-0.62139,-0.62139,-0.62139,-0.62139
1.01000,-0.63395,-0.63395,-0.63395,-0.63395
1.03000,-0.64650,-0.64650,-0.64650,-0.64650
1.05000,-0.65906,-0.65906,-0.65906,-0.65906
1.07000,-0.67161,-0.67161,-0.67161,-0.67161
1.09000,-0.68416,-0.68416,-0.68416,-0.68416
1.11000,-0.69672,-0.69672,-0.69672,-0.69672
1.13000,-0.70927,-0.70927,-0.70927,-0.70927
1.15000,-0.72182,-0.72182,-0.72182,-0.72182
1.17000,-0.73438,-0.73438,-0.73438,-0.73438
1.19000,-0.74693,-0.74693,-0.74693,-0.74693
1.21000,-0.75948,-0.75948,-0.75948,-0.75948
1.23000,-0.77204,-0.77204,-0.77204,-0.77204
1.25000,-0.78459,-0.78459,-0.78459,-0.78459
1.27000,-0.79714,-0.79714,-0.79714,-0.79714
1.29000,-0.80970,-0.80970,-0.80970,-0.80970
1.31000,-0.82225,-0.82225,-0.82225,-0.82225
1.33000,-0.83480,-0.83480,-0.83480,-0.83480
1.35000,-0.84736,-0.84736,-0.84736,-0.84736
1.37000,-0.85991,-0.85991,-0.85991,-0.85991
1.39000,-0.87246,-0.87246,-0.87246,-0.87246
1.41000,-0.88502,-0.88502,-0.88502,-0.88502
1.43000,-0.89757,-0.89757,-0.89757,-0.89757
1.45000,-0.91012,-0.91012,-0.91012,-0.91012
1.47000,-0.92268,-0.92268,-0.92268,-0.92268
1.49000,-0.93523,-0.93523,-0.93523,-0.93523
1.51000,-0.94778,-0.94778,-0.94778,-0.94778
1.53000,-0.96034,-0.96034,-0.96034,-0.96034
1.55000,-0.97289,-0.97289,-0.97289,-0.97289
1.57000,-0.98544,-0.98544,-0.98544,-0.98544
1.59000,-0.99800,-0.99800,-0.99800,-0.99800
1.61000,-1.01055,-1.01055,-1.01055,-1.01055
1.63000,-1.02310,-1.02310,-1.02310,-1.02310
1.65000,-1.03566,-1.03566,-1.03566,-1.03566
1.67000,-1.04821,-1.04821,-1.04821,-1.04821
1.69000,-1.06076,-1.06076,-1.06076,-1.06076
1.71000,-1.07332,-1.07332,-1.07332,-1.07332
1.73000,-1.08587,-1.08587,-1.08587,-1.08587
1.75000,-1.09843,-1.09843,-1.09843,-1.09843
1.77000,-1.11098,-1.11098,-1.11098,-1.11098
1.79000,-1.12353,-1.12353,-1.12353,-1.12353
1.81000,-1.13609,-1.13609,-1.13609,-1.13609
1.83000,-1.14864,-1.14864,-1.14864,-1.14864
1.85000,-1.16119,-1.16119,-1.16119,-1.16119
1.87000,-1.17375,-1.17375,-1.17375,-1.17375
1.89000,-1.18630,-1.18630,-1.18630,-1.18630
1.91000,-1.19885,-1.19885,-1.19885,-1.19885
1.93000,-1.21141,-1.21141,-1.21141,-1.21141
1.95000,-1.22396,-1.22396,-1.22168,-1.22168
1.97000,-1.23651,-1.23651,-1.23154,-1.23154
1.99000,-1.24907,-1.24907,-1.23865,-1.23865
2.01000,-1.26162,-1.26162,-1.24064,-1.24064
2.03000,-1.27417,-1.27417,-1.23359,-1.23359
2.05000,-1.28673,-1.28673,-1.21129,-1.21129
2.07000,-1.29928,-1.29928,-1.16454,-1.16454
2.09000,-1.31183,-1.31183,-1.08062,-1.08062
2.11000,-1.32439,-1.32439,-0.94319,-0.94319
2.13000,-1.33694,-1.33694,-0.73309,-0.73309
2.15000,-1.34949,-1.34949,-0.43046,-0.43046
2.17000,-1.36205,-1.36205,-0.01816,-0.01816
2.19000,-1.37460,-1.37460,0.51349,0.51349
2.21000,-1.38715,-1.38715,1.16150,1.16150
2.23000,-1.39971,-1.39971,1.90572,1.90572
2.25000,-1.41226,-1.41226,2.70655,2.70655
2.27000,-1.42481,-1.42481,3.50630,3.50630
2.29000,-1.43737,-1.43737,4.23477,4.23477
2.31000,-1.44992,-1.44992,4.81876,4.81876
2.33000,-1.46247,-1.46247,5.19384,5.19384
2.35000,83.63135,83.63135,5.31575,5.31575
2.37000,-1.48758,-1.48758,5.16873,5.16873
2.39000,-1.50013,-1.50013,4.76854,4.76854
2.41000,-1.51269,-1.51269,4.15945,4.15945
2.43000,-1.52524,-1.52524,3.40588,3.40588
2.45000,-1.53780,-1.53780,2.58102,2.58102
2.47000,-1.55035,-1.55035,1.75508,1.75508
2.49000,-1.56290,-1.56290,0.98575,0.98575
2.51000,-1.57546,-1.57546,0.31263,0.31263
2.53000,-1.58801,-1.58801,-0.24412,-0.24412
2.55000,-1.60056,-1.60056,-0.68153,-0.68153
2.57000,-1.61312,-1.61312,-1.00927,-1.00927
2.59000,-1.62567,-1.62567,-1.24447,-1.24447
2.61000,-1.63822,-1.63822,-1.40701,-1.40701
2.63000,-1.65078,-1.65078,-1.51604,-1.51604
2.65000,-1.66333,-1.66333,-1.58789,-1.58789
2.67000,-1.67588,-1.67588,-1.63530,-1.63530
2.69000,-1.68844,-1.68844,-1.66746,-1.66746
2.71000,-1.70099,-1.70099,-1.69057,-1.69057
2.73000,-1.71354,-1.71354,-1.70857,-1.70857
2.75000,-1.72610,-1.72610,-1.72382,-1.72382
2.77000,-1.73865,-1.73865,-1.73865,-1.73865
2.79000,-1.75120,-1.75120,-1.75120,-1.75120
2.81000,-1.76376,-1.76376,-1.76376,-1.76376
2.83000,-1.77631,-1.77631,-1.77631,-1.77631
2.85000,-1.78886,-1.78886,-1.78886,-1.78886
2.87000,-1.80142,-1.80142,-1.80142,-1.80142
2.89000,-1.81397,-1.81397,-1.81397,-1.81397
2.91000,-1.82652,-1.82652,-1.82652,-1.82652
2.93000,-1.83908,-1.83908,-1.83908,-1.83908
2.95000,-1.85163,-1.85163,-1.85163,-1.85163
2.97000,-1.86418,-1.86418,-1.86418,-1.86418
2.99000,-1.87674,-1.87674,-1.87674,-1.87674
3.01000,-1.88929,-1.88929,-1.88929,-1.88929
3.03000,-1.90184,-1.90184,-1.90184,-1.90184
3.05000,-1.91440,-1.91440,-1.91440,-1.91440
3.07000,-1.92695,-1.92695,-1.92695,-1.92695
3.09000,-1.93950,-1.93950,-1.93950,-1.93950
3.11000,-1.95206,-1.95206,-1.95206,-1.95206
3.13000,-1.96461,-1.96461,-1.96461,-1.96461
3.15000,-1.97717,-1.97717,-1.97717,-1.97717
3.17000,-1.98972,-1.98972,-1.98972,-1.98972
3.19000,-2.00227,-2.00227,-2.00227,-2.00227
3.21000,-2.01483,-2.01483,-2.01483,-2.01483
3.23000,-2.02738,-2.02738,-2.02738,-2.02738
3.25000,-2.03993,-2.03993,-2.03993,-2.03993
3.27000,-2.05249,-2.05249,-2.05249,-2.05249
3.29000,-2.06504,-2.06504,-2.06504,-2.06504
3.31000,-2.07759,-2.07759,-2.07759,-2.07759
3.33000,-2.09015,-2.09015,-2.09015,-2.09015
3.35000,-2.10270,-2.10270,-2.10270,-2.10270
3.37000,-2.11525,-2.11525,-2.11525,-2.11525
3.39000,-2.12781,-2.12781,-2.12781,-2.12781
3.41000,-2.14036,-2.14036,-2.14036,-2.14036
3.43000,-2.15291,-2.15291,-2.15291,-2.15291
3.45000,-2.16547,-2.16547,-2.16130,-2.16130
3.47000,-2.17802,-2.17802,-2.16892,-2.16892
3.49000,-2.19057,-2.19057,-2.17150,-2.17150
3.51000,-2.20313,-2.20313,-2.16472,-2.16472
3.53000,-2.21568,-2.21568,-2.14137,-2.14137
3.55000,-2.22823,-2.22823,-2.09009,-2.09009
3.57000,-2.24079,-2.24079,-1.99406,-1.99406
3.59000,-2.25334,-2.25334,-1.82996,-1.82996
3.61000,-2.26589,-2.26589,-1.56785,-1.56785
3.63000,-2.27845,-2.27845,-1.17270,-1.17270
3.65000,-2.29100,-2.29100,-0.60810,-0.60810
3.67000,-2.30355,-2.30355,0.15733,0.15733
3.69000,-2.31611,-2.31611,1.14130,1.14130
3.71000,-2.32866,-2.32866,2.33836,2.33836
3.73000,-2.34121,-2.34121,3.71158,3.71158
3.75000,-2.35377,-2.35377,5.18848,5.18848
3.77000,-2.36632,-2.36632,6.66339,6.66339
3.79000,-2.37888,-2.37888,8.00776,8.00776
3.81000,-2.39143,-2.39143,9.08758,9.08758
3.83000,-2.40398,-2.40398,9.78485,9.78485
3.85000,153.42762,153.42762,10.01853,10.01853
3.87000,-2.42909,-2.42909,9.75974,9.75974
3.89000,-2.44164,-2.44164,9.03737,9.03737
3.91000,-2.45420,-2.45420,7.93244,7.93244
3.93000,-2.46675,-2.46675,6.56296,6.56296
3.95000,-2.47930,-2.47930,5.06294,5.06294
3.97000,-2.49186,-2.49186,3.56094,3.56094
3.99000,-2.50441,-2.50441,2.16261,2.16261
4.01000,-2.51696,-2.51696,0.94045,0.94045
4.03000,-2.52952,-2.52952,-0.06863,-0.06863
4.05000,-2.54207,-2.54207,-0.85917,-0.85917
4.07000,-2.55462,-2.55462,-1.44888,-1.44888
4.09000,-2.56718,-2.56718,-1.86914,-1.86914
4.11000,-2.57973,-2.57973,-2.15279,-2.15279
4.13000,-2.59228,-2.59228,-2.33779,-2.33779
4.15000,-2.60484,-2.60484,-2.45041,-2.45041
4.17000,-2.61739,-2.61739,-2.51029,-2.51029
4.19000,-2.62994,-2.62994,-2.52810,-2.52810
4.21000,-2.64250,-2.64250,-2.50550,-2.50550
4.23000,-2.65505,-2.65505,-2.43533,-2.43533
4.25000,-2.66760,-2.66760,-2.30201,-2.30201
4.27000,-2.68016,-2.68016,-2.08427,-2.08427
4.29000,-2.69271,-2.69271,-1.74878,-1.74878
4.31000,-2.70526,-2.70526,-1.26864,-1.26864
4.33000,-2.71782,-2.71782,-0.61706,-0.61706
4.35000,-2.73037,-2.73037,0.22108,0.22108
4.37000,-2.74292,-2.74292,1.24111,1.24111
4.39000,-2.75548,-2.75548,2.41154,2.41154
4.41000,-2.76803,-2.76803,3.67047,3.67047
4.43000,-2.78058,-2.78058,4.92770,4.92770
4.45000,-2.79314,-2.79314,6.07350,6.07350
4.47000,-2.80569,-2.80569,6.99346,6.99346
4.49000,-2.81825,-2.81825,7.58686,7.58686
4.51000,130.20690,130.20690,7.78450,7.78450
4.53000,-2.84335,-2.84335,7.56175,7.56175
4.55000,-2.85591,-2.85591,6.94325,6.94325
4.57000,-2.86846,-2.86846,5.99818,5.99818
4.59000,-2.88101,-2.88101,4.82728,4.82728
4.61000,-2.89357,-2.89357,3.54494,3.54494
4.63000,-2.90612,-2.90612,2.26090,2.26090
4.65000,-2.91867,-2.91867,1.06537,1.06537
4.67000,-2.93123,-2.93123,0.02022,0.02022
4.69000,-2.94378,-2.94378,-0.84303,-0.84303
4.71000,-2.95633,-2.95633,-1.51971,-1.51971
4.73000,-2.96889,-2.96889,-2.02496,-2.02496
4.75000,-2.98144,-2.98144,-2.38555,-2.38555
4.77000,-2.99399,-2.99399,-2.63257,-2.63257
4.79000,-3.00655,-3.00655,-2.79593,-2.79593
4.81000,-3.01910,-3.01910,-2.90117,-2.90117
4.83000,-3.03165,-3.03165,-2.96822,-2.96822
4.85000,-3.04421,-3.04421,-3.01142,-3.01142
4.87000,-3.05676,-3.05676,-3.04048,-3.04048
4.89000,-3.06931,-3.06931,-3.06155,-3.06155
4.91000,-3.08187,-3.08187,-3.07831,-3.07831
4.93000,-3.09442,-3.09442,-3.09442,-3.09442
4.95000,-3.10697,-3.10697,-3.10697,-3.10697
4.97000,-3.11953,-3.11953,-3.11953,-3.11953
4.99000,-3.13208,-3.13208,-3.13208,-3.13208
5.01000,-3.14463,-3.14463,-3.14463,-3.14463
5.03000,-3.15719,-3.15719,-3.15571,-3.15571
5.05000,-3.16974,-3.16974,-3.16652,-3.16652
5.07000,-3.18229,-3.18229,-3.17553,-3.17553
5.09000,-3.19485,-3.19485,-3.18123,-3.18123
5.11000,-3.20740,-3.20740,-3.18106,-3.18106
5.13000,-3.21995,-3.21995,-3.17098,-3.17098
5.15000,-3.23251,-3.23251,-3.14504,-3.14504
5.17000,-3.24506,-3.24506,-3.09497,-3.09497
5.19000,-3.25762,-3.25762,-3.01015,-3.01015
5.21000,-3.27017,-3.27017,-2.87817,-2.87817
5.23000,-3.28272,-3.28272,-2.68611,-2.68611
5.25000,-3.29528,-3.29528,-2.42286,-2.42286
5.27000,-3.30783,-3.30783,-2.08214,-2.08214
5.29000,-3.32038,-3.32038,-1.66587,-1.66587
5.31000,-3.33294,-3.33294,-1.18715,-1.18715
5.33000,-3.34549,-3.34549,-0.67167,-0.67167
5.35000,-3.35804,-3.35804,-0.15690,-0.15690
5.37000,-3.37060,-3.37060,0.31159,0.31159
5.39000,-3.38315,-3.38315,0.68630,0.68630
5.41000,-3.39570,-3.39570,0.92538,0.92538
5.43000,51.84036,51.84036,1.00012,1.00012
5.45000,-3.42081,-3.42081,0.90028,0.90028
5.47000,-3.43336,-3.43336,0.63608,0.63608
5.49000,-3.44592,-3.44592,0.23627,0.23627
5.51000,-3.45847,-3.45847,-0.25461,-0.25461
5.53000,-3.47102,-3.47102,-0.79128,-0.79128
5.55000,-3.48358,-3.48358,-1.32536,-1.32536
5.57000,-3.49613,-3.49613,-1.81660,-1.81660
5.59000,-3.50868,-3.50868,-2.23458,-2.23458
5.61000,-3.52124,-3.52124,-2.55883,-2.55883
5.63000,-3.53379,-3.53379,-2.77646,-2.77646
5.65000,-3.54634,-3.54634,-2.87854,-2.87854
5.67000,-3.55890,-3.55890,-2.85670,-2.85670
5.69000,-3.57145,-3.57145,-2.70103,-2.70103
5.71000,-3.58400,-3.58400,-2.40023,-2.40023
5.73000,-3.59656,-3.59656,-1.94447,-1.94447
5.75000,-3.60911,-3.60911,-1.33048,-1.33048
5.77000,-3.62166,-3.62166,-0.56777,-0.56777
5.79000,-3.63422,-3.63422,0.31557,0.31557
5.81000,-3.64677,-3.64677,1.26976,1.26976
5.83000,-3.65932,-3.65932,2.22445,2.22445
5.85000,-3.67188,-3.67188,3.09437,3.09437
5.87000,-3.68443,-3.68443,3.79343,3.79343
5.89000,-3.69699,-3.69699,4.24329,4.24329
5.91000,97.81330,97.81330,4.39114,4.39114
5.93000,-3.72209,-3.72209,4.21818,4.21818
5.95000,-3.73465,-3.73465,3.74322,3.74322
5.97000,-3.74720,-3.74720,3.01905,3.01905
5.99000,-3.75975,-3.75975,2.12255,2.12255
6.01000,-3.77231,-3.77231,1.14100,1.14100
6.03000,-3.78486,-3.78486,0.15816,0.15816
6.05000,-3.79741,-3.79741,-0.75714,-0.75714
6.07000,-3.80997,-3.80997,-1.55768,-1.55768
6.09000,-3.82252,-3.82252,-2.21941,-2.21941
6.11000,-3.83507,-3.83507,-2.73877,-2.73877
6.13000,-3.84763,-3.84763,-3.12730,-3.12730
6.15000,-3.86018,-3.86018,-3.40545,-3.40545
6.17000,-3.87273,-3.87273,-3.59693,-3.59693
